Date,Open,High,Low,Close,Adj Close,Volume
2023-05-30,200.100006,204.479996,197.529999,201.160004,201.160004,128818700
2023-05-31,199.779999,203.949997,195.119995,203.929993,203.929993,150711700
2023-06-01,202.589996,209.800003,199.369995,207.520004,207.520004,148029900
2023-06-02,210.149994,217.250000,209.750000,213.970001,213.970001,164129000
2023-06-05,217.800003,221.289993,214.520004,217.610001,217.610001,151143100
2023-06-06,216.139999,221.910004,212.529999,221.309998,221.309998,146911600
2023-06-07,228.000000,230.830002,223.199997,224.570007,224.570007,185710800
2023-06-08,224.220001,235.229996,223.009995,234.860001,234.860001,164489700
2023-06-09,249.070007,252.419998,242.020004,244.399994,244.399994,199882300
2023-06-12,247.940002,250.970001,244.589996,249.830002,249.830002,150337900
2023-06-13,253.509995,259.679993,251.339996,258.709991,258.709991,162384300
2023-06-14,260.170013,261.570007,250.500000,256.790009,256.790009,170575500
2023-06-15,248.399994,258.950012,247.289993,255.899994,255.899994,160171200
2023-06-16,258.920013,263.600006,257.209991,260.540009,260.540009,167563700
2023-06-20,261.500000,274.750000,261.119995,274.450012,274.450012,165611200
2023-06-21,275.130005,276.989990,257.779999,259.459991,259.459991,211797100
2023-06-22,250.770004,265.000000,248.250000,264.609985,264.609985,166875900
2023-06-23,259.290009,262.450012,252.800003,256.600006,256.600006,176584100
2023-06-26,250.070007,258.369995,240.699997,241.050003,241.050003,179990600
2023-06-27,243.240005,250.389999,240.850006,250.210007,250.210007,164968200
2023-06-28,249.699997,259.880005,248.889999,256.239990,256.239990,159770800
2023-06-29,258.029999,260.739990,253.610001,257.500000,257.500000,131283400
2023-06-30,260.600006,264.450012,259.890015,261.769989,261.769989,112267600
2023-07-03,276.489990,284.250000,275.109985,279.820007,279.820007,119685900
2023-07-05,278.820007,283.850006,277.600006,282.480011,282.480011,131530900
2023-07-06,278.089996,279.970001,272.880005,276.540009,276.540009,120332100
2023-07-07,278.429993,280.779999,273.769989,274.429993,274.429993,113602000
2023-07-10,276.470001,277.519989,265.100006,269.609985,269.609985,119425400
2023-07-11,268.649994,270.899994,266.369995,269.790009,269.790009,91972400
2023-07-12,276.329987,276.519989,271.459991,271.989990,271.989990,95672100
2023-07-13,274.589996,279.450012,270.600006,277.899994,277.899994,112681500
2023-07-14,277.010010,285.299988,276.309998,281.380005,281.380005,119771100
2023-07-17,286.630005,292.230011,283.570007,290.380005,290.380005,131569600
2023-07-18,290.149994,295.260010,286.010010,293.339996,293.339996,112434700
2023-07-19,296.040009,299.290009,289.519989,291.260010,291.260010,142355400
2023-07-20,279.559998,280.929993,261.200012,262.899994,262.899994,175158300
2023-07-21,268.000000,268.000000,255.800003,260.019989,260.019989,161050100
2023-07-24,255.850006,269.850006,254.119995,269.059998,269.059998,136508500
2023-07-25,272.380005,272.899994,265.000000,265.279999,265.279999,112757300
2023-07-26,263.250000,268.040009,261.750000,264.350006,264.350006,95856200
2023-07-27,268.309998,269.130005,255.300003,255.710007,255.710007,103697300
2023-07-28,259.859985,267.250000,258.230011,266.440002,266.440002,111446000
2023-07-31,267.480011,269.079987,263.779999,267.429993,267.429993,84582200
2023-08-01,266.260010,266.470001,260.250000,261.070007,261.070007,83166000
2023-08-02,255.570007,259.519989,250.490005,254.110001,254.110001,101752900
2023-08-03,252.039993,260.489990,252.000000,259.320007,259.320007,97569100
2023-08-04,260.970001,264.769989,253.110001,253.860001,253.860001,99242600
2023-08-07,251.449997,253.649994,242.759995,251.449997,251.449997,111097900
2023-08-08,247.449997,250.919998,245.009995,249.699997,249.699997,96642200
2023-08-09,250.869995,251.100006,241.899994,242.190002,242.190002,101596300
2023-08-10,245.399994,251.800003,243.000000,245.339996,245.339996,109498600
2023-08-11,241.770004,243.789993,238.020004,242.649994,242.649994,98866600
2023-08-14,235.699997,240.660004,233.750000,239.759995,239.759995,98595300
2023-08-15,238.729996,240.500000,232.610001,232.960007,232.960007,88197600
2023-08-16,228.020004,233.970001,225.380005,225.600006,225.600006,112484500
2023-08-17,226.059998,226.740005,218.830002,219.220001,219.220001,120718400
2023-08-18,214.119995,217.580002,212.360001,215.490005,215.490005,135813700
2023-08-21,221.550003,232.130005,220.580002,231.279999,231.279999,135702700
2023-08-22,240.250000,240.820007,229.550003,233.190002,233.190002,130597900
2023-08-23,229.339996,238.979996,229.289993,236.860001,236.860001,101077600
2023-08-24,238.660004,238.919998,228.179993,230.039993,230.039993,99777400
2023-08-25,231.309998,239.000000,230.350006,238.589996,238.589996,106345900
2023-08-28,242.580002,244.380005,235.350006,238.820007,238.820007,107463700
